feature,coefficient,abs_coef,direction
discharge_enc,-0.19253229978982664,0.19253229978982664,Risk ↓
prior_admits_12m,0.17649031407642374,0.17649031407642374,Risk ↑
age,0.1546486592202194,0.1546486592202194,Risk ↑
comorbidity_count,0.14282431179711855,0.14282431179711855,Risk ↑
hospital_quality_enc,0.13810174548443974,0.13810174548443974,Risk ↑
ed_visits_6m,0.1356769476201523,0.1356769476201523,Risk ↑
insurance_enc,-0.11655316479949387,0.11655316479949387,Risk ↓
condition_enc,-0.05571231692941695,0.05571231692941695,Risk ↓
los_days,0.025321569502049945,0.025321569502049945,Risk ↑
